opt_score            ,test_train_diff      ,fut ,hl ,opt_buy               ,opt_sell                ,best_buy              ,best_sell               ,best_score
0.040174969353337614 ,0.0                  ,  1 , 0 ,7.000000000000001e-05 ,-0.0002                 ,7.000000000000001e-05 ,-0.0002                 ,0.040174969353337614
0.03022136446810636  ,-0.45255254927371585 ,  1 , 8 ,8e-05                 ,-9e-05                  ,8e-05                 ,-0.00017                ,0.055204137726849345
0.033752603533078275 ,-0.32636227793810185 ,  1 ,16 ,7.000000000000001e-05 ,-7.999999999999999e-05  ,8e-05                 ,-0.00014                ,0.05010497842930606
0.03161222499166647  ,-0.37478493834411625 ,  1 ,24 ,4.000000000000001e-05 ,-4.9999999999999996e-05 ,8e-05                 ,-0.00011                ,0.05056216161514313
0.034634348975618644 ,-0.3435260333846297  ,  1 ,48 ,6.000000000000001e-05 ,-9.999999999999999e-06  ,8e-05                 ,0.0                     ,0.05275814539026647
0.028647392314600003 ,-0.31453497448278156 ,  1 ,72 ,6.000000000000001e-05 ,0.0                     ,8e-05                 ,-5.9999999999999995e-05 ,0.041792638935858294
0.0446703126964186   ,-0.1440701816391719  ,  3 , 0 ,8e-05                 ,-0.00016                ,8e-05                 ,-0.00012                ,0.05218922362345748
0.03655303682089104  ,-0.3148025927929597  ,  3 , 8 ,4.000000000000001e-05 ,-0.00012                ,8e-05                 ,-7.999999999999999e-05  ,0.053346723785611345
0.02507358157863628  ,-0.4966683367690655  ,  3 ,16 ,4.000000000000001e-05 ,-7e-05                  ,8e-05                 ,-3.9999999999999996e-05 ,0.04981522803013532
0.039051089218178604 ,-0.24277066368007624 ,  3 ,24 ,4.000000000000001e-05 ,-2.9999999999999997e-05 ,8e-05                 ,-1.9999999999999998e-05 ,0.051571019960694985
0.031322785569796875 ,-0.3167646088817875  ,  3 ,48 ,6.000000000000001e-05 ,0.0                     ,8e-05                 ,-3.9999999999999996e-05 ,0.045844793722603645
0.020168851342199857 ,-0.5204655041296172  ,  3 ,72 ,5.000000000000001e-05 ,0.0                     ,8e-05                 ,-1.9999999999999998e-05 ,0.042059229348229116
0.04119834877827494  ,-0.16677176006622468 ,  5 , 0 ,4.000000000000001e-05 ,-0.00011                ,8e-05                 ,-0.0002                 ,0.0494442540516262
0.023234701017284934 ,-0.517050317439891   ,  5 , 8 ,5.000000000000001e-05 ,-0.0001                 ,7.000000000000001e-05 ,-5.9999999999999995e-05 ,0.04810998299888745
0.03270046781246269  ,-0.3110667945554087  ,  5 ,16 ,4.000000000000001e-05 ,-3.9999999999999996e-05 ,7.000000000000001e-05 ,0.0                     ,0.04746536754801941
0.038234357049988205 ,-0.2317863865525631  ,  5 ,24 ,4.000000000000001e-05 ,-2.9999999999999997e-05 ,7.000000000000001e-05 ,0.0                     ,0.049770475790460976
0.028433209790505745 ,-0.41554219659631864 ,  5 ,48 ,5.000000000000001e-05 ,-1.9999999999999998e-05 ,7.000000000000001e-05 ,-9.999999999999999e-06  ,0.04864886673583705
0.03805640007663058  ,-0.0643272535933208  ,  5 ,72 ,4.000000000000001e-05 ,-9.999999999999999e-06  ,7.000000000000001e-05 ,-3.9999999999999996e-05 ,0.04067276750635399
0.05154109242843669  ,-0.11838164094416496 , 10 , 0 ,7.000000000000001e-05 ,-9e-05                  ,7.000000000000001e-05 ,-5.9999999999999995e-05 ,0.0584619091685368
0.0373785161658529   ,-0.3285636073396473  , 10 , 8 ,6.000000000000001e-05 ,-4.9999999999999996e-05 ,7.000000000000001e-05 ,-2.9999999999999997e-05 ,0.0556694819858549
0.03234946497526955  ,-0.39527764470939303 , 10 ,16 ,5.000000000000001e-05 ,-2.9999999999999997e-05 ,7.000000000000001e-05 ,-7e-05                  ,0.05349473968053257
0.03708687882255278  ,-0.28805581938620034 , 10 ,24 ,5.000000000000001e-05 ,-2.9999999999999997e-05 ,7.000000000000001e-05 ,-0.00011                ,0.052092396893501515
0.0357492112050055   ,-0.24667038369775832 , 10 ,48 ,3.000000000000001e-05 ,-9.999999999999999e-06  ,7.000000000000001e-05 ,-0.00011                ,0.047454939287376485
0.03359496398904029  ,-0.29636239839561446 , 10 ,72 ,3.000000000000001e-05 ,-1.9999999999999998e-05 ,6.000000000000001e-05 ,0.0                     ,0.04774469686162222
0.0409387449682157   ,-0.30916054673677296 , 15 , 0 ,4.000000000000001e-05 ,-5.9999999999999995e-05 ,6.000000000000001e-05 ,-4.9999999999999996e-05 ,0.05925941950020191
0.0345291985995658   ,-0.36831395865856115 , 15 , 8 ,4.000000000000001e-05 ,-3.9999999999999996e-05 ,6.000000000000001e-05 ,-9.999999999999999e-06  ,0.05466196233534006
0.03472808786290822  ,-0.3498545053926036  , 15 ,16 ,4.000000000000001e-05 ,-3.9999999999999996e-05 ,6.000000000000001e-05 ,-3.9999999999999996e-05 ,0.053415870987277216
0.031831662954328314 ,-0.41518847833764866 , 15 ,24 ,3.000000000000001e-05 ,-1.9999999999999998e-05 ,6.000000000000001e-05 ,-1.9999999999999998e-05 ,0.054430635812108275
0.0298435026335148   ,-0.4861158694520701  , 15 ,48 ,3.000000000000001e-05 ,0.0                     ,6.000000000000001e-05 ,-2.9999999999999997e-05 ,0.05807438070075079
0.0384967556339869   ,-0.27441063521407283 , 15 ,72 ,4.000000000000001e-05 ,-9.999999999999999e-06  ,6.000000000000001e-05 ,-1.9999999999999998e-05 ,0.053055843294154005
